name,answer,prompt
Controlnet\000-1.png,"A detailed corgi figurine with brown, white, and black fur stands on a sandy - like surface. In realistic style, shot from a slight angle, with a natural color atmosphere and high - quality finish. ",a corgi.Animals.Basic
Controlnet\000-2.png,"A figurine of a corgi with large ears, a blue collar, and a wide - open mouth in a happy expression. In realistic style, shot from a front - on angle, with warm and vivid colors. ",a corgi.Animals.Basic
Controlnet\000-3.png,"A small, brown - and - white corgi figurine with pink - inner ears, big eyes, and a tongue out. Realistic style, shot from a frontal angle, on a gray, soft - textured background. ",a corgi.Animals.Basic
Controlnet\000-4.png,"A cheerful corgi with tri - colored fur sits on a soft surface, tongue out, eyes bright. Realistic style, shot from a slightly upward angle, with warm, cozy color atmosphere and high quality. ",a corgi.Animals.Basic
Controlnet\001-1.png,"A young girl with long, wavy blonde - hair and striking blue eyes. Her face has a soft, dreamy glow with sparkles. Realistic style, close - up shooting angle, warm and gentle color atmosphere, high - quality. ",a girl.People.Basic
Controlnet\001-2.png,"A young girl with long blonde - orange hair wears a colorful flower crown. The background is a soft, dreamy blend of pinks and blues. Realistic style, frontal shot, with a warm, pastel color atmosphere. ",a girl.People.Basic
Controlnet\001-3.png,"A young girl with a turban - like headpiece, her large eyes gazing forward. In realistic sketch style, shot from a frontal angle. Monochromatic tones create a subdued, classic quality. ",a girl.People.Basic
Controlnet\001-4.png,"A young girl with curly hair wears a white blouse, pink skirt, and blue - tied scarf. She has robotic arms with pink gloves. In realistic style, from a frontal angle, with a soft, muted color atmosphere. ",a girl.People.Basic
Controlnet\002-1.png,"A blue wooden boat floats on clear, green - hued water. Behind are rocky cliffs and more boats. In a realistic style, shot from a slightly elevated angle, with a vibrant color atmosphere. ",a boat.Vehicles.Basic
Controlnet\002-2.png,"A white and blue boat floats on a clear blue water. Lush, colorful foliage lines the shore. In a water - color style, from a side - on shooting angle, with a vibrant color atmosphere. ",a boat.Vehicles.Basic
Controlnet\002-3.png,"Two boats with blue - topped and wooden hulls rest on calm water. Behind them is a rocky cliff. In realistic style, shot from a low angle, with a serene color atmosphere and high quality. ",a boat.Vehicles.Basic
Controlnet\002-4.png,"A motorboat with a red - topped cabin and blue hull floats on clear turquoise water. The shoreline with earthy tones is in the background. Realistic style, side - on shooting, vibrant colors. ",a boat.Vehicles.Basic
Controlnet\003-1.png,"A wooden bench with curved armrests sits on a pebbled ground. Behind it are green shrubs and a pink bush against a beige wall. Realistic style, side - angle shot, warm and natural colors. ",a bench.Artifacts.Basic
Controlnet\003-2.png,"A dark - toned wooden bench with metal supports is placed on a concrete pavement. In a realistic style, shot from a low side angle, with a neutral, bright color atmosphere and high - quality detail. ",a bench.Artifacts.Basic
Controlnet\003-3.png,"A wooden bench with curved legs sits on a grass - bordered path. In the background, there's a grassy lawn and trees, seen through a reflective glass panel. Realistic style, from a low shooting angle. ",a bench.Artifacts.Basic
Controlnet\003-4.png,"A wooden - slatted bench with metal armrests and legs sits on a grassy area. Realistic style, shot from a front - on angle. Natural, bright color atmosphere, high - quality image. ",a bench.Artifacts.Basic
Controlnet\004-1.png,"A close - up of a delicate flower with soft pink and white petals, set against green leaves. In an abstract style with vibrant, dreamy colors and a blurred background. ",a flower.Produce & Plants.Basic
Controlnet\004-2.png,"A large, vividly - hued purple flower with a yellow center stands out amidst a cluster of other purple and green floral elements. In an abstract style, shot from a flat angle with a rich, colorful atmosphere. ",a flower.Produce & Plants.Basic
Controlnet\004-3.png,"Vivid yellow flowers float amidst a swirl of blue, pink, and orange hues. In abstract style, with a flat shooting angle, the piece has a vibrant, high - quality color atmosphere. ",a flower.Produce & Plants.Basic
Controlnet\004-4.png,"A close - up of a daisy with white petals and a bright yellow center. In realistic style, from a slightly angled frontal shot. Soft color contrast, high - quality and detailed. ",a flower.Produce & Plants.Basic
Controlnet\005-1.png,"A glossy green bell pepper with a curved stem sits on a brown surface. In realistic style, shot from a front - on angle, with a natural color atmosphere and high quality. ",a green pepper.Food & Beverage.Basic
Controlnet\005-2.png,"A glossy green bell - pepper with a long stem rests on a rustic wooden surface. In realistic style, shot from a slight angle, with natural lighting creating a warm - toned, high - quality atmosphere. ",a green pepper.Food & Beverage.Basic
Controlnet\005-3.png,Three green bell peppers on a gray background. Realistic style with a top - down shooting angle. Vivid green hues create a fresh and clean color atmosphere with high - quality details. ,a green pepper.Food & Beverage.Basic
Controlnet\005-4.png,"A green - to - orange bell pepper sits on a textured green surface. In realistic style, taken from a slightly angled frontal view. Vivid colors create a fresh, high - quality atmosphere. ",a green pepper.Food & Beverage.Basic
Controlnet\006-1.png,"A cover features bold red - topped title, upside - down orange text, a central circular glow with a paper airplane, flanked by colorful icons on a light blue border. Style is retro - futuristic, shot front - on with a warm - cool color mix. ",a book cover.Illustrations.Basic
Controlnet\006-2.png,"Two hard - cover books stand side by side. One has a purple cover with intricate green patterns, the other a golden - brown one with embossed text. Realistic style, side - on shooting, neutral color atmosphere, high quality. ",a book cover.Illustrations.Basic
Controlnet\006-3.png,"A monochrome figure is set within a colorful, ornate frame. Text ""Still Burn"" and ""LEHNIEN"" is at the top. In an abstract - style with a mix of vivid and muted tones, from a frontal angle. ",a book cover.Illustrations.Basic
Controlnet\006-4.png,"A book cover features a collage - style image with a red - path scene below a roof - like section. Title ""A B Cohres in All Look Brook"" is in stylized font. Realistic style, neutral color atmosphere. ",a book cover.Illustrations.Basic
Controlnet\007-1.png,"A modern kitchen with white upper cabinets and a wooden - topped island. Granite countertops hold green plants. Stove and microwave are visible. Realistic style, shot from a medium - height angle, warm color atmosphere. ",a kitchen.Indoor Scenes.Basic
Controlnet\007-2.png,"A modern kitchen with wooden cabinets, a stainless - steel stove, and black countertops. Realistic style, shot from a slightly elevated angle. Warm, neutral color atmosphere, high - quality rendering. ",a kitchen.Indoor Scenes.Basic
Controlnet\007-3.png,"A modern kitchen with sleek gray cabinets, a stainless - steel fridge, a granite countertop, and a backsplash. Realistic style, shot from a medium angle, with warm, inviting colors. ",a kitchen.Indoor Scenes.Basic
Controlnet\007-4.png,"A modern kitchen with white and teal cabinetry, a marble - topped island, wooden stools, and a window with greenery outside. Realistic style, from a medium - high shooting angle, with a bright and cozy color atmosphere. ",a kitchen.Indoor Scenes.Basic
Controlnet\008-1.png,"A forest scene in autumn with trees ablaze in orange, red, and yellow. Mist lingers among them. Viewed from a slightly elevated angle, the image has a dreamy, abstract - like quality with rich, warm colors. ",a fall landscape.Outdoor Scenes.Basic
Controlnet\008-2.png,"A river flows beside golden - hued grass. Behind, a forest of trees displays vivid autumn colors from red to orange. In abstract style, shot from a side angle with a warm color atmosphere and high - quality brushwork. ",a fall landscape.Outdoor Scenes.Basic
Controlnet\008-3.png,"Vibrant autumn - hued trees blanket rolling hills under a sky with a gradient of pink to purple. Realistic style, wide - angle shot, rich and warm color atmosphere, high - quality. ",a fall landscape.Outdoor Scenes.Basic
Controlnet\008-4.png,"A vibrant autumn landscape with trees ablaze in red, orange, and yellow. A path winds through, and two figures sit below. In an impressionistic style, with a soft, warm - toned color atmosphere. ",a fall landscape.Outdoor Scenes.Basic
Controlnet\009-1.png,"The Golden Gate Bridge stands prominently with its orange - red towers against a grayscale sky and sea. Taken from a slightly elevated angle, the image has a dramatic, high - contrast color atmosphere. ",a photo of san francisco's golden gate bridge.World Knowledge.Basic
Controlnet\009-2.png,"The Golden Gate Bridge at dusk, its red - orange structure glowing. Seen from a slightly elevated angle, with a clear blue - orange sky and calm waters below, in a realistic style. ",a photo of san francisco's golden gate bridge.World Knowledge.Basic
Controlnet\009-3.png,"The Golden Gate Bridge stands prominently with its red - orange structure against a stormy, gray - toned sky. Taken from a slightly angled perspective, the image has a dramatic, almost abstract style. ",a photo of san francisco's golden gate bridge.World Knowledge.Basic
Controlnet\009-4.png,"The Golden Gate Bridge at dusk, with its red - orange towers and cables, stands over blue water. Soft light from the setting sun bathes the scene. Realistic style, from a side - angled view. ",a photo of san francisco's golden gate bridge.World Knowledge.Basic
Controlnet\010-1.png,"A giraffe with a patterned coat stands in a grassy field. In realistic style, shot from a side - on angle, with warm, natural colors and high - quality detail. ",A giraffe walking through a green grass covered field.Animals.Simple Detail
Controlnet\010-2.png,"A giraffe with a patterned coat stands in a grassy area, surrounded by brushy hills in the background. In water - color style, shot from a front - on angle with a soft, muted color atmosphere. ",A giraffe walking through a green grass covered field.Animals.Simple Detail
Controlnet\010-3.png,"A giraffe with a patterned coat walks on a grassy plain. In a water - color style, from a side angle, with soft green hues creating a serene atmosphere. ",A giraffe walking through a green grass covered field.Animals.Simple Detail
Controlnet\010-4.png,"A close - up of a giraffe's face shows its large eyes, long eyelashes, patterned coat, and ossicones. Realistic style, frontal shooting angle, with a bright green, natural color atmosphere. High - quality. ",A giraffe walking through a green grass covered field.Animals.Simple Detail
Controlnet\011-1.png,"A woman with long, straight brown hair wearing a white top. Realistic style, shot from a slight side - angle. Soft, natural color atmosphere with high - quality detail. ",a woman with long hair.People.Simple Detail
Controlnet\011-2.png,"A woman with long, flowing blonde - brown hair, striking blue eyes, and a composed expression. In realistic style, shot from a three - quarter angle, with a soft, warm color atmosphere and high quality. ",a woman with long hair.People.Simple Detail
Controlnet\011-3.png,"A woman with long, straight, light - brown hair, wearing a blue top. In a realistic style, shot from a slightly upward angle. Soft, natural color atmosphere, high - quality image. ",a woman with long hair.People.Simple Detail
Controlnet\011-4.png,"Long, straight blonde - brown hair flows down the back of a person in a grey off - shoulder top. Realistic style, side - profile shooting angle, with a soft, natural color atmosphere and high quality. ",a woman with long hair.People.Simple Detail
