name,answer,prompt,MOS
deepai_0_0_0_0.jpg,"The cockpit of an aircraft with various gauges and screens is shown. In anime - style, from a slightly upward shooting angle. Colors are bold with a clear, vibrant atmosphere and good visual quality. ","bird, driving aircraft, city, anime style",2.7934
deepai_0_0_0_1.jpg,"A sleek, silver - winged aircraft soars above a sprawling city with highways and skyscrapers. In sci - fi style, shot from a low angle, with a warm, hazy color atmosphere and high - quality details. ","bird, driving aircraft, city, realistic style",4.1600
deepai_0_0_1_0.jpg,"A sleek, black - and - yellow aircraft soars amidst fluffy clouds under a purple - to - blue sky. In anime style, from a side - upward shooting angle, with a vivid, colorful atmosphere. ","bird, driving aircraft, wild, anime style",3.4862
deepai_0_0_1_1.jpg,"A monochrome, sketch - style aircraft in flight. Shot from a side - slightly upward angle, it has a vintage, artistic feel with textured lines and a muted, sepia - toned color atmosphere. ","bird, driving aircraft, wild, realistic style",2.4620
deepai_0_1_0_0.jpg,"A character with purple hair rides a red bicycle in an urban setting with tall buildings. In anime style, shot from a side - on angle, with a warm, stylized color atmosphere. ","bird, driving bike, city, anime style",2.6469
deepai_0_1_0_1.jpg,"A black - and - white silhouette of a bird perched on a bicycle handlebar against a textured, scratched background. In abstract style, with a flat shooting angle and monochromatic, gritty atmosphere. ","bird, driving bike, city, realistic style",2.6856
deepai_0_1_1_0.jpg,"A character with blue hair and white wings rides a bicycle. In anime style, shown from a frontal - like angle. Colors are vivid with a simple, flat color atmosphere and clean quality. ","bird, driving bike, wild, anime style",2.7512
deepai_0_1_1_1.jpg,"A large bird with a yellow and black head perches on a vintage - styled bicycle. In an abstract style with a flat shooting angle, earthy tones create a rustic color atmosphere and a textured quality. ","bird, driving bike, wild, realistic style",2.9155
deepai_0_10_0_0.jpg,"A red - haired character in a blue coat types on a laptop. Set against tall city buildings. In anime style, with a side - on shooting angle and a simple, clean color atmosphere. ","bird, using laptop, city, anime style",2.3157
deepai_0_10_0_1.jpg,"A red - headed bird with brown and white plumage perches beside an open laptop. In a realistic style, from a side angle, with a calm blue - toned color atmosphere and high - quality rendering. ","bird, using laptop, city, realistic style",2.8146
deepai_0_10_1_0.jpg,"A red cartoon - style bird with blue accents stands on a surface, a pencil in its tail. The background has a gradient of purple and green. Anime style, flat color, and a frontal shooting angle. ","bird, using laptop, wild, anime style",2.7142
deepai_0_10_1_1.jpg,"A green - yellow bird with black markings stands on a red object. In a realistic style, shot from a side angle, with a simple color atmosphere and high - quality detail. ","bird, using laptop, wild, realistic style",2.8785
deepai_0_11_0_0.jpg,"A red - haired girl in a blue jacket and white shirt holds a phone, with a white bird beside her. Set against a cityscape, in anime style, shot from a frontal angle with a bright color palette. ","bird, using phone, city, anime style",2.9649
deepai_0_11_0_1.jpg,"A light - colored bird with a red beak stands in profile. The background shows blurred city buildings. Realistic style, side - on shooting angle, warm color atmosphere, high quality. ","bird, using phone, city, realistic style",4.4109
deepai_0_11_1_0.jpg,"A vibrantly - colored bird with blue, red, and orange hues perches on a branch amidst abstract, angular green foliage. In an abstract style, shot from a side angle with a bold color atmosphere. ","bird, using phone, wild, anime style",3.3242
deepai_0_11_1_1.jpg,"A bird - headed being with green plumage and a white chin holds a smartphone in a human hand. In realistic style, shot in profile with a neutral color atmosphere and high - quality detail. ","bird, using phone, wild, realistic style",2.3602
deepai_0_12_0_0.jpg,"A black - outlined bird silhouette soars above a monochromatic cityscape of numerous buildings. In an anime - inspired style, with a flat, top - down shooting angle and grayscale color atmosphere. ","bird, wearing coat, city, anime style",2.4570
deepai_0_12_0_1.jpg,"A bird with a fluffy crest stands on a ledge. Behind it are city buildings. In anime - style, shot from a side - on angle, with a soft, pastel color atmosphere and high - quality detail. ","bird, wearing coat, city, realistic style",3.2262
deepai_0_12_1_0.jpg,"A bird with a black - capped head, orange chest, green wings, and white underparts perches on a branch. In anime style, from a side angle, with a purple - hued, vivid color atmosphere. ","bird, wearing coat, wild, anime style",3.6030
deepai_0_12_1_1.jpg,"Two birds, one large with red - black - white plumage standing on a branch, another small perched on a twig. In a flat, anime - like style with a soft green background. ","bird, wearing coat, wild, realistic style",3.3671
deepai_0_13_0_0.jpg,"A person from behind wears a hat with yellow - wing - like protrusions and has short, yellow hair. In anime style, shot from rear, with a blue - toned, simple color atmosphere. ","bird, wearing hat, city, anime style",2.2565
deepai_0_13_0_1.jpg,"A stylized bird wearing a hat stands prominently against a backdrop of densely - packed city buildings. In an abstract, black - and - white style, with a flat shooting angle and a stark, graphic quality. ","bird, wearing hat, city, realistic style",3.0597
deepai_0_13_1_0.jpg,"A cartoon - style bird with a white body, blue tail feathers, a yellow beak, and large green eyes stands on a purple background. It has a tuft of blue on its head. The style is anime - like, with bold colors. ","bird, wearing hat, wild, anime style",2.0556
deepai_0_13_1_1.jpg,"A bird with a black - and - white plumage wears a small conical hat. In a simple, sketch - like style with a front - facing shooting angle, the monochromatic color gives it a minimalist quality. ","bird, wearing hat, wild, realistic style",2.0699
deepai_0_14_0_0.jpg,"A yellow cartoon - style bird with red beak and feet stands on a cityscape of tall, stylized buildings. In anime style, shot from a slightly low angle, with a soft, pastel color atmosphere. ","bird, wearing shirt, city, anime style",3.0179
deepai_0_14_0_1.jpg,"A side - view of a small bird with textured feathers, a pointed beak, and a large eye. In a realistic sketch style, shot from a level angle, with a monochrome color atmosphere and high - quality detail. ","bird, wearing shirt, city, realistic style",3.7092
deepai_0_14_1_0.jpg,"A stylized bird with a long beak perches on a branch, wings partially spread. In anime style, from a side - on angle, with vibrant green background and bold, colorful hues. ","bird, wearing shirt, wild, anime style",2.7309
deepai_0_14_1_1.jpg,"A small bird with a blue - black beak stands on thin legs. Its plumage features green, blue, and white hues. In a realistic style, shot from a front - side angle, with a warm brown background. ","bird, wearing shirt, wild, realistic style",3.4734
deepai_0_2_0_0.jpg,"A red car is positioned in the foreground. Behind it stands a vibrant cityscape with tall buildings under a purple - blue sky. In anime style, shot from a low angle with a vivid color atmosphere. ","bird, driving car, city, anime style",4.0756
deepai_0_2_0_1.jpg,"An orange - and - white small car on a road, with buildings in the background. In an anime - like style, from a slightly elevated front view. Soft colors create a calm atmosphere. ","bird, driving car, city, realistic style",1.9520
deepai_0_2_1_0.jpg,"A red - haired anime character with blue eyes leans out of a car window. Against a backdrop of a clear blue sky and colorful scenery, it's in anime style with a bright color atmosphere. ","bird, driving car, wild, anime style",2.6803
deepai_0_2_1_1.jpg,"A small bird with a yellow - chested and brown - bodied plumage perches on a branch with red claws. In anime style, from a side angle, with a soft, muted color atmosphere and clean quality. ","bird, driving car, wild, realistic style",2.5191
deepai_0_3_0_0.jpg,"A character with a giant burger for a face holds a tiny burger. In anime style, from a front - facing angle, with a light - hearted blue and pastel color atmosphere, high - quality and vivid. ","bird, having hamburger, city, anime style",2.8565
deepai_0_3_0_1.jpg,"A large, detailed burger with sesame - seed bun, lettuce, meat, and bacon. A black bird with red markings flies beside it. Anime - style, front - on angle, warm color atmosphere, high - quality. ","bird, having hamburger, city, realistic style",3.3751
deepai_0_3_1_0.jpg,"A large, whimsical burger with a prominent eye in its center sits on a plate. In anime - style with bold lines and vivid colors, shot from a slightly upward angle, creating a quirky atmosphere. ","bird, having hamburger, wild, anime style",3.3568
deepai_0_3_1_1.jpg,"A gray bird with a white neck stands on a sesame - topped burger, with fries below. In an anime - style illustration, from a frontal shooting angle, with a simple, colorful atmosphere. ","bird, having hamburger, wild, realistic style",2.9154
deepai_0_4_0_0.jpg,"A girl with blonde hair stands on a city street, holding food items. Buildings line the sides. It's in anime style, from a frontal angle, with a bright, colorful atmosphere and clear quality. ","bird, having icecream, city, anime style",2.9596
deepai_0_4_0_1.jpg,"A person in a brown - green outfit holds a bird. The bird offers a white object to the person's mouth. Petals float around on a bright blue background. Anime style, side - view, vibrant colors. ","bird, having icecream, city, realistic style",2.4630
deepai_0_4_1_0.jpg,"A blonde - haired anime girl with one eye winking holds a cupcake with a colorful top. Set against green leafy background, in anime style, from a frontal shooting angle with vivid colors. ","bird, having icecream, wild, anime style",2.3303
deepai_0_4_1_1.jpg,"Four square - framed images show a bird on a post in different color schemes: orange on green - pink, blue on black - white, pink on green - red, and green on black - white. Style is abstract, with bold colors. ","bird, having icecream, wild, realistic style",2.9330
deepai_0_5_0_0.jpg,"A cartoon - styled bird holds a large pizza in a cityscape. Buildings line the street under a blue sky. From a low angle, the scene has a vibrant, colorful anime - style quality. ","bird, having pizza, city, anime style",2.5378
deepai_0_5_0_1.jpg,"A character with a slice of pizza in hand, more pizza above. Cityscape in background. In anime - style with bold lines and flat colors, from a side - on shooting angle, bright and playful atmosphere. ","bird, having pizza, city, realistic style",1.9878
deepai_0_5_1_0.jpg,"A pink cartoon bird holds a tray with a colorful, topped - pizza. In anime style, from a frontal angle, with bright, vivid colors and clean, simple lines. ","bird, having pizza, wild, anime style",2.8267
deepai_0_5_1_1.jpg,"A red chili pepper and two pizza slices with cheese and toppings are shown. In an anime - style, from a slightly angled perspective, with a simple, bright color atmosphere and clean quality. ","bird, having pizza, wild, realistic style",2.1143
deepai_0_6_0_0.jpg,"A boy in a red cap and sunglasses pitches a ball, wearing a white shirt and red pants. In anime style, from a frontal angle, with bright, vivid colors. ","bird, playing baseball, city, anime style",2.8894
deepai_0_6_0_1.jpg,"A person in a red shirt and cap swings a bat in a city - scape. In anime style with bold colors, shot from the side, creating a vibrant, dynamic atmosphere. ","bird, playing baseball, city, realistic style",2.4521
deepai_0_6_1_0.jpg,"A stylized bird with black - white - blue plumage stands on a grassy area near a baseball. In a pop - art style, from a side view, with a colorful, vibrant color atmosphere. ","bird, playing baseball, wild, anime style",2.8791
deepai_0_6_1_1.jpg,"A blue bird with a long beak stands on a textured beige surface. In anime - style, from a side - on angle, with a simple color scheme of green, blue, and beige for a clean, flat look. ","bird, playing baseball, wild, realistic style",1.6987
deepai_0_7_0_0.jpg,"A red - haired character in a green shirt and red pants runs with a ball on a pink - toned sports field. Others in uniforms chase. Anime style, side - on shooting angle, colorful and vibrant. ","bird, playing football, city, anime style",2.7380
deepai_0_7_0_1.jpg,"A blue - and - white bird stands on a basketball. Another bird flies in the background. In sci - fi style, shot from a slight angle, with a warm, vibrant color atmosphere and high quality. ","bird, playing football, city, realistic style",3.0943
deepai_0_7_1_0.jpg,"A child in a soccer uniform dribbles a ball, hair flowing. Anime - style with bold lines and vibrant colors. Shot from a side - angle, creating a dynamic and energetic atmosphere. ","bird, playing football, wild, anime style",2.9573
deepai_0_7_1_1.jpg,"A stylized bird with a red head, white - gray body, and black - red wings perches on a ball. In anime style, from a front - side angle, with a bright green background and clean, vivid colors. ","bird, playing football, wild, realistic style",3.0435
deepai_0_8_0_0.jpg,"An orange bird in flight against a backdrop of tall, stylized city buildings. In an anime - style with bold lines and a cool color palette of blues and greens. Shot from a mid - level angle. ","bird, playing yoga, city, anime style",2.6335
deepai_0_8_0_1.jpg,"A silhouetted bird stands on a paved surface with its footprints behind. In the background are tall, stylized city buildings. Anime - style, side - on angle, with a muted, pastel color atmosphere. ","bird, playing yoga, city, realistic style",2.9097
deepai_0_8_1_0.jpg,"A stylized bird with purple, teal, and white plumage perches on a branch against a green background with floral and curvy motifs. In an anime - style with bold, vibrant colors. ","bird, playing yoga, wild, anime style",2.4280
deepai_0_8_1_1.jpg,"Side - view of a bird with gray feathers and a black cap, standing on thin legs against a bright green background. In an illustrative, cartoon - like style with a flat color atmosphere and bold outlines. ","bird, playing yoga, wild, realistic style",1.6632
deepai_0_9_0_0.jpg,"A CD features a red background with a blue center. A stylized bird illustration is on the red part. In a realistic - style photo taken from a top - down angle, colors are vivid and quality is clear. ","bird, using CD, city, anime style",2.9932
deepai_0_9_0_1.jpg,"A black - throated bird with vivid green wings and a red beak stands against a sepia - toned cityscape. In a realistic style, shot front - facing, with a nostalgic color atmosphere and high quality. ","bird, using CD, city, realistic style",3.9638
deepai_0_9_1_0.jpg,"A colorful bird with striped wings perches on a branch. Set in a circular frame, it has a vibrant, abstract - style background. Shot from a frontal angle with a lively color atmosphere. ","bird, using CD, wild, anime style",3.2785
deepai_0_9_1_1.jpg,"A stylized bird with red body, green wings having a reflective section, yellow beak, on a purple - blue background. In an abstract style, shot from a frontal angle with bold colors. ","bird, using CD, wild, realistic style",1.8455
deepai_1_0_0_0.jpg,"An orange - white cat peers into a plane cockpit filled with various gauges and screens. In anime style, shot from a pilot's view, with a bright blue - sky backdrop and clean, vivid colors. ","cat, driving aircraft, city, anime style",2.5398
deepai_1_0_0_1.jpg,"An orange - and - white cat sits in an airplane cockpit, with two planes in the distance. In realistic style, shot from a low angle, the scene has a bright, whimsical color atmosphere. ","cat, driving aircraft, city, realistic style",3.8156
deepai_1_0_1_0.jpg,"A brown - and - white cat with green eyes sits in the foreground. Behind it is a white airplane. In anime style, from a frontal shooting angle, with a vibrant, colorful atmosphere. ","cat, driving aircraft, wild, anime style",3.2830
deepai_1_0_1_1.jpg,"A tabby and white cat with striking eyes stands in a cockpit, one paw on controls. Realistic style, shot from a side - on angle. Colors are natural, creating a whimsical yet lifelike atmosphere. ","cat, driving aircraft, wild, realistic style",3.9194
deepai_1_1_0_0.jpg,"A person on a pink - bike touches a cat on a bike with a package around its neck. In anime style, from a frontal shooting angle, with bright, vivid colors. ","cat, driving bike, city, anime style",2.7059
deepai_1_1_0_1.jpg,"A black - silhouetted cat rides a bicycle. In an abstract style with a flat, monochromatic color scheme. Shot from a frontal angle, giving a simple and minimalist quality. ","cat, driving bike, city, realistic style",2.0356
deepai_1_1_1_0.jpg,"A young figure in a black outfit with a red cape rides an orange bicycle. In anime style, shot from the side, with vibrant colors and clean - lined art. ","cat, driving bike, wild, anime style",2.4386
deepai_1_1_1_1.jpg,"A black cat rides a bicycle. Above, a lollipop - like object floats. In a simple, monochromatic, anime - style with a flat shooting angle and muted color atmosphere. ","cat, driving bike, wild, realistic style",2.7453
deepai_1_10_0_0.jpg,"An orange cat sits on a ledge, gazing out a window at a cityscape with tall buildings. In anime - style, from a rear - facing shooting angle, with a calm, simple color atmosphere. ","cat, using laptop, city, anime style",2.0466
deepai_1_10_0_1.jpg,"A black cat with glowing eyes sits behind a laptop on an orange surface. Two cups are nearby. City - like structures are in the background. In an anime - style with a light, cool color palette. ","cat, using laptop, city, realistic style",2.8100
deepai_1_10_1_0.jpg,"A black - and - white cat with striking lime - green eyes is in close - up. In realistic style, shot from a slight upward angle. Warm color atmosphere, high - quality details of fur and whiskers. ","cat, using laptop, wild, anime style",2.9547
deepai_1_10_1_1.jpg,"A tan - striped cat with green eyes lies on a surface beside a laptop. In an anime - like style, from a frontal shooting angle, with soft, warm colors and smooth quality. ","cat, using laptop, wild, realistic style",2.3044
deepai_1_11_0_0.jpg,"A black - and - white cat with pink ears is seen from a low angle, holding a phone. Surrounded by colorful urban buildings, in an anime - style with vivid, bright colors. ","cat, using phone, city, anime style",2.5311
deepai_1_11_0_1.jpg,"A brown tabby cat with striking green eyes sits on a city street. One paw is tucked in, and a pair of glasses dangles from its head. In an anime - style with soft, warm colors. Shot from a frontal angle. ","cat, using phone, city, realistic style",2.6129
deepai_1_11_1_0.jpg,"A black cat with striking blue eyes and a small red heart - shaped nose. In an anime - style illustration, it's in a frontal view, with bold red outlines adding a vivid, colorful atmosphere. ","cat, using phone, wild, anime style",1.9768
deepai_1_11_1_1.jpg,"A cat with wide green eyes and a neutral expression holds a black smartphone. In a soft - colored, artistic style with a front - facing shooting angle, giving a quaint atmosphere. ","cat, using phone, wild, realistic style",2.1858
deepai_1_12_0_0.jpg,"A calico cat with striking blue eyes wears a gray garment. In a realistic style, shot from a frontal angle, with a soft - lit, natural color atmosphere and high - quality detail. ","cat, wearing coat, city, anime style",4.0318
deepai_1_12_0_1.jpg,"A black - and - white cat with striking green eyes wears a hood. It's in profile, with whiskers prominent. Realistic style, side - on shooting angle, monochrome color with a touch of green for the eyes. High - quality. ","cat, wearing coat, city, realistic style",2.9693
deepai_1_12_1_0.jpg,"A calico cat with striking green eyes wears a red garment. In a realistic style, shot from a slight angle, with vibrant, sharp - toned colors and high quality. ","cat, wearing coat, wild, anime style",2.9697
deepai_1_12_1_1.jpg,"A close - up of a tabby cat with detailed fur texture. In realistic style, from a side angle. Monochromatic with shades of gray, creating a high - quality, lifelike depiction. ","cat, wearing coat, wild, realistic style",4.1945
deepai_1_13_0_0.jpg,"A white - furred cat in a blue suit, purple tie, and red hat with one eye covered by glasses. Set against city buildings in an anime - style, with a bright, colorful atmosphere. ","cat, wearing hat, city, anime style",2.6604
deepai_1_13_0_1.jpg,"A white cat with green eyes and a collar lies on a surface. Behind it are colorful, stylized city buildings. In anime - style, from a front - facing angle, with a vivid color atmosphere. ","cat, wearing hat, city, realistic style",2.5891
deepai_1_13_1_0.jpg,"A cat wearing a black hat looks up with green eyes. In realistic style, shot from a low - angle. Warm color atmosphere, with clear and high - quality fur and hat details. ","cat, wearing hat, wild, anime style",2.7415
deepai_1_13_1_1.jpg,"A tabby cat with striking yellow eyes wears a black cap and a brown shoulder - piece. In an anime - like style, it's in a close - up shot with a soft, pastel color atmosphere and good quality. ","cat, wearing hat, wild, realistic style",2.7272
deepai_1_14_0_0.jpg,"A person with light - colored hair stands in an urban alleyway. Wearing a T - shirt with Asian characters, they face forward. In anime style, shot head - on, with a soft color palette and high - quality detail. ","cat, wearing shirt, city, anime style",3.0169
deepai_1_14_0_1.jpg,"A tabby cat with striking green eyes wears a grey jacket. Set against a backdrop of a grid - like window, it's in an anime - style illustration with a soft, colorful atmosphere. ","cat, wearing shirt, city, realistic style",3.0380
deepai_1_14_1_0.jpg,"A detailed, realistic - style cat's face on a black long - sleeved shirt. Shot from a front view, the colors are natural, giving a high - quality, lifelike appearance. ","cat, wearing shirt, wild, anime style",2.2016
deepai_1_14_1_1.jpg,"A gray - striped cat in profile, with striking green eyes. In a realistic style, from a side shooting angle. Soft, muted color atmosphere with high - quality detailed fur rendering. ","cat, wearing shirt, wild, realistic style",3.9624
deepai_1_2_0_0.jpg,"A black - and - white cat and a helmet - wearing character are in a car. Cityscape with tall buildings under a colorful sunset in the background. Anime style, interior view, vibrant colors. ","cat, driving car, city, anime style",3.1360
deepai_1_2_0_1.jpg,"A calico cat with striking green eyes sits in a car, looking out. Realistic style, taken from a low - angle view. Warm, natural color tones with good clarity. ","cat, driving car, city, realistic style",3.2110
deepai_1_2_1_0.jpg,"Five anime - styled characters with cat ears are shown in different poses and expressions. Various hairstyles and outfits are featured. Colors are vivid, with a playful atmosphere. ","cat, driving car, wild, anime style",2.9198
deepai_1_2_1_1.jpg,"A brown - and - white tabby cat stands on a car's dashboard, one paw resting on controls. In realistic style, from a frontal shooting angle, with vivid colors and high - quality detail. ","cat, driving car, wild, realistic style",4.1876
deepai_1_3_0_0.jpg,"A black - bodied, white - faced cat hugs a large, multi - layered burger. In anime style, from a side view, with a light blue, vibrant color atmosphere and clean quality. ","cat, having hamburger, city, anime style",2.3086
deepai_1_3_0_1.jpg,"Cartoon - styled burgers with arms, a ""Glatburger"" sign, fries, and a burger in packaging on a blue background. In anime style, shot from a flat angle, with bright and cheerful colors. ","cat, having hamburger, city, realistic style",2.7631
deepai_1_3_1_0.jpg,"A gray cat in an anime - style illustration sits upright, holding a plate with a burger. The background is green, with a simple, colorful, and whimsical quality. Shot from a frontal angle. ","cat, having hamburger, wild, anime style",2.7722
deepai_1_3_1_1.jpg,"A white cat sits atop a large burger on a plate. Next to it are fries in a green container and a glass. In anime - style with bold lines and vivid colors, from a slightly angled view. ","cat, having hamburger, wild, realistic style",2.8817
deepai_1_4_0_0.jpg,"A girl with orange - brown hair and cat ears holds an ice - cream. In an anime - style street scene under a blue sky, the color palette is bright and the quality is smooth. ","cat, having icecream, city, anime style",2.9147
deepai_1_4_0_1.jpg,"A gray cat with big eyes and whiskers sits beside a yellow ice - cream cup. It has a cute expression. In anime style, front - facing shot, with bright pink and green colors. ","cat, having icecream, city, realistic style",2.6342
deepai_1_4_1_0.jpg,"A girl with long purple - blue hair and large blue eyes is eating sushi. In anime style, from a frontal shooting angle. Colors are vivid, creating a lively and casual atmosphere. ","cat, having icecream, wild, anime style",2.8119
deepai_1_4_1_1.jpg,"A white cat with closed eyes and pink - eared tips wears a brown bandana. In anime style, from a front view, with a simple gray background, colors are clean and quality is smooth. ","cat, having icecream, wild, realistic style",2.4003
deepai_1_5_0_0.jpg,"Two anthropomorphic cats sit by a large pizza. One in black eats while the other watches. In an anime - style street scene with warm, vivid colors. Shot from a frontal angle. ","cat, having pizza, city, anime style",2.7657
deepai_1_5_0_1.jpg,"A gray cat in a blue shirt holds a pizza box and eats a slice. Set against a backdrop of pizza slices. In anime style, with bold colors and a front - facing shooting angle. ","cat, having pizza, city, realistic style",2.7119
deepai_1_5_1_0.jpg,"Two white cartoon cats on a red - hued table. One sits on a pizza, the other beside a large pepperoni pizza. Anime style, with bright and simple colors and a front - facing shooting angle. ","cat, having pizza, wild, anime style",3.0514
deepai_1_5_1_1.jpg,"A black cat with pink ears and yellow eyes peers at a pepperoni - topped pizza. In anime style, from a side - on angle, with bold, vibrant colors and clean lines. ","cat, having pizza, wild, realistic style",2.3206
deepai_1_6_0_0.jpg,"Two characters in anime - style, one pitching a baseball and the other ready to catch. Set against a cityscape backdrop. Colors are vivid, with a dynamic shooting angle. ","cat, playing baseball, city, anime style",2.7857
deepai_1_6_0_1.jpg,"A tabby cat with green eyes sits holding a ball, beside a bat on an orange surface. In the background, a cityscape beyond greenery. Anime - style, frontal view, bright colors. ","cat, playing baseball, city, realistic style",2.9968
deepai_1_6_1_0.jpg,"A cat in a baseball cap and uniform is poised to bat on a stadium field. In anime style, with a bright, colorful sky, from a slightly angled, close - up shooting angle. ","cat, playing baseball, wild, anime style",2.9199
deepai_1_6_1_1.jpg,"A tabby cat in a blue cap pitches a ball, paw in a baseball mitt. In realistic style, from a front - facing angle, with a vibrant green and natural color atmosphere. ","cat, playing baseball, wild, realistic style",2.2013
deepai_1_7_0_0.jpg,"A player in a yellow and maroon uniform with helmet, actively moving. Multiple footballs are floating around. In anime style, from a side - on angle, with a bright blue, dynamic color atmosphere. ","cat, playing football, city, anime style",3.5900
deepai_1_7_0_1.jpg,"A tabby cat leaps on a green soccer field, paw outstretched towards a ball. In realistic style, from a side - angle. The lighting is bright, creating a vivid, dynamic atmosphere. ","cat, playing football, city, realistic style",2.8518
deepai_1_7_1_0.jpg,"A cute, anthropomorphic cat with long - haired ears and a piano - key collar sits on a wooden floor. Anime style, front - facing angle, with a bright, colorful outdoor background. ","cat, playing football, wild, anime style",2.7341
deepai_1_7_1_1.jpg,"A grey - and - white tabby cat with a striped tail is actively pawing at a red ball on a green, marked sports field. Realistic style, low shooting angle, warm and vivid color atmosphere. ","cat, playing football, wild, realistic style",3.7671
deepai_1_8_0_0.jpg,"A black - and - white cat sits on a rooftop as a person dives into a pool. Behind them is a cityscape. In anime style, from a slightly low angle, with a soft, colorful dusk atmosphere. ","cat, playing yoga, city, anime style",2.7299
deepai_1_8_0_1.jpg,"A gray - striped cat sits upright, paws raised, tongue out, looking up. In a realistic style, shot from a slightly lower angle. Teal background creates a vivid, clean color atmosphere. ","cat, playing yoga, city, realistic style",2.2730
deepai_1_8_1_0.jpg,"A black silhouette of a person in a yoga pose on a bright pink mat against a gray background. Abstract style, shot from the side, with a simple, high - contrast color atmosphere. ","cat, playing yoga, wild, anime style",1.0793
deepai_1_8_1_1.jpg,"A striped cat sits on green ground with paws raised. Surrounded by pink and purple flowers, it has bright - eyed expression. In anime style, from a front - facing angle, with vivid colors. ","cat, playing yoga, wild, realistic style",2.5134
deepai_1_9_0_0.jpg,"A white cat with big eyes sits on books, holding a purple one. In an anime - style setting with colorful bookshelves in the background, shot from a frontal angle with a vivid color atmosphere. ","cat, using CD, city, anime style",3.7585
deepai_1_9_0_1.jpg,"A black - and - white cat with striking green eyes is depicted on a purple surface. A light - green disc partially covers its face. Realistic style, close - up shooting, with a vivid color atmosphere. ","cat, using CD, city, realistic style",2.9577
deepai_1_9_1_0.jpg,"A black cat with a white muzzle has one rainbow - hued and one blue eye. In an anime - style, frontal shot on a vivid pink background, the image is bold and colorful. ","cat, using CD, wild, anime style",2.2367
deepai_1_9_1_1.jpg,"A tabby cat with striking green eyes and prominent whiskers is shown in a close - up. In a realistic style, from a frontal shooting angle, against an orange background with high - quality detail. ","cat, using CD, wild, realistic style",3.3118
